start;end;pitch;pitchclass;instrument
0.2800;0.4325;62;2;"piano"
0.2800;0.4325;50;2;"piano"
0.4300;0.5225;67;7;"piano"
0.4300;0.5225;55;7;"piano"
0.5200;0.6269;70;10;"piano"
0.5200;0.6269;58;10;"piano"
0.6300;0.9750;74;2;"piano"
0.6300;0.9750;62;2;"piano"
0.9700;1.2750;70;10;"piano"
0.9700;1.2750;58;10;"piano"
1.2700;1.5337;67;7;"piano"
1.2700;1.5337;55;7;"piano"
1.5500;2.0000;62;2;"piano"
1.5500;2.0000;50;2;"piano"
2.0000;2.1125;75;3;"piano"
2.0000;2.1125;63;3;"piano"
2.1100;2.2542;74;2;"piano"
2.1100;2.2542;62;2;"piano"
2.2533;2.3006;75;3;"piano"
2.2533;2.3006;63;3;"piano"
2.3100;2.6150;74;2;"piano"
2.3100;2.6150;62;2;"piano"
2.6100;2.8550;70;10;"piano"
2.6100;2.8550;58;10;"piano"
2.8500;3.1338;67;7;"piano"
2.8500;3.1338;55;7;"piano"
3.1500;3.5869;62;2;"piano"
3.1500;3.5869;50;2;"piano"
3.5800;3.6925;63;3;"piano"
3.5800;3.6925;51;3;"piano"
3.6900;3.7563;62;2;"piano"
3.6900;3.7563;50;2;"piano"
3.7550;3.8806;63;3;"piano"
3.7550;3.8806;51;3;"piano"
3.8900;4.1950;65;5;"piano"
3.8900;4.1950;53;5;"piano"
4.1900;4.4750;62;2;"piano"
4.1900;4.4750;50;2;"piano"
4.4700;4.7750;60;0;"piano"
4.4700;4.7750;48;0;"piano"
4.7700;5.0150;58;10;"piano"
4.7700;5.0150;46;10;"piano"
5.0100;5.2750;57;9;"piano"
5.0100;5.2750;45;9;"piano"
5.2700;5.4763;55;7;"piano"
5.2700;5.4763;43;7;"piano"
5.5600;5.6156;55;7;"piano"
5.5600;5.5944;57;9;"piano"
5.5600;5.6156;43;7;"piano"
5.5600;5.5944;45;9;"piano"
5.6319;5.6975;58;10;"piano"
5.6319;5.6413;57;9;"piano"
5.6319;5.6975;46;10;"piano"
5.6319;5.6413;45;9;"piano"
5.7144;5.7800;57;9;"piano"
5.7144;5.7800;45;9;"piano"
5.7963;5.8619;58;10;"piano"
5.7963;5.8619;46;10;"piano"
5.8727;5.9038;57;9;"piano"
5.8727;5.9038;45;9;"piano"
5.9200;5.9856;58;10;"piano"
5.9200;5.9856;46;10;"piano"
