start;end;pitch;pitchclass;instrument
0.7200;0.8725;62;2;"piano"
0.7200;0.8725;50;2;"piano"
0.8700;0.9625;67;7;"piano"
0.8700;0.9625;55;7;"piano"
0.9600;1.0406;70;10;"piano"
0.9600;1.0406;58;10;"piano"
1.0500;1.3150;74;2;"piano"
1.0500;1.3150;62;2;"piano"
1.3100;1.6150;70;10;"piano"
1.3100;1.6150;58;10;"piano"
1.6100;1.8938;67;7;"piano"
1.6100;1.8938;55;7;"piano"
1.9100;2.3600;62;2;"piano"
1.9100;2.3600;50;2;"piano"
2.3600;2.4525;75;3;"piano"
2.3600;2.4525;63;3;"piano"
2.4500;2.5425;74;2;"piano"
2.4500;2.5425;62;2;"piano"
2.5400;2.6206;75;3;"piano"
2.5400;2.6206;63;3;"piano"
2.6300;2.8950;74;2;"piano"
2.6300;2.8950;62;2;"piano"
2.8900;3.1950;70;10;"piano"
2.8900;3.1950;58;10;"piano"
3.1900;3.4537;67;7;"piano"
3.1900;3.4537;55;7;"piano"
3.4700;3.9269;62;2;"piano"
3.4700;3.9269;50;2;"piano"
3.9200;4.0525;63;3;"piano"
3.9200;4.0525;51;3;"piano"
4.0500;4.1203;62;2;"piano"
4.0500;4.1203;50;2;"piano"
4.1200;4.1806;63;3;"piano"
4.1200;4.1806;51;3;"piano"
4.1900;4.4950;65;5;"piano"
4.1900;4.4950;53;5;"piano"
4.4900;4.7150;62;2;"piano"
4.4900;4.7150;50;2;"piano"
4.7100;5.0150;60;0;"piano"
4.7100;5.0150;48;0;"piano"
5.0100;5.2750;58;10;"piano"
5.0100;5.2750;46;10;"piano"
5.2700;5.5750;57;9;"piano"
5.2700;5.5750;45;9;"piano"
5.5700;5.6996;55;7;"piano"
5.5700;5.6996;43;7;"piano"
5.7100;5.9013;55;7;"piano"
5.7100;5.7806;57;9;"piano"
5.7100;5.9013;43;7;"piano"
5.7100;5.7806;45;9;"piano"
5.9319;6.0200;58;10;"piano"
5.9319;5.9413;57;9;"piano"
5.9319;6.0200;46;10;"piano"
5.9319;5.9413;45;9;"piano"
6.0744;6.1400;57;9;"piano"
6.0744;6.1400;45;9;"piano"
6.1563;6.2456;58;10;"piano"
6.1563;6.2456;46;10;"piano"
6.2781;6.3438;57;9;"piano"
6.2781;6.3438;45;9;"piano"
6.3600;6.4256;58;10;"piano"
6.3600;6.4256;46;10;"piano"
6.4425;6.5263;57;9;"piano"
6.4425;6.5263;45;9;"piano"
6.5444;6.6100;58;10;"piano"
6.5444;6.6100;46;10;"piano"
6.6263;6.6919;57;9;"piano"
6.6263;6.6919;45;9;"piano"
6.7081;6.7738;58;10;"piano"
6.7081;6.7738;46;10;"piano"
6.7763;6.8700;55;7;"piano"
6.7763;6.8700;43;7;"piano"
6.8231;6.8700;57;9;"piano"
6.8256;6.8700;45;9;"piano"
6.8700;7.4344;55;7;"piano"
6.8700;7.4344;43;7;"piano"
7.7200;7.8725;57;9;"piano"
7.7200;7.8725;45;9;"piano"
7.8700;8.0225;55;7;"piano"
7.8700;8.0225;43;7;"piano"
8.0200;8.0763;57;9;"piano"
8.0200;8.0763;45;9;"piano"
8.1700;8.2356;55;7;"piano"
8.1700;8.2144;57;9;"piano"
8.1700;8.2356;43;7;"piano"
8.1700;8.2144;45;9;"piano"
8.2519;8.4900;58;10;"piano"
8.2519;8.2613;57;9;"piano"
8.2519;8.4900;46;10;"piano"
8.2519;8.2613;45;9;"piano"
8.5944;8.7000;57;9;"piano"
8.5944;8.7000;45;9;"piano"
8.7625;8.9450;58;10;"piano"
8.7625;8.9450;46;10;"piano"
9.0181;9.0838;57;9;"piano"
9.0181;9.0838;45;9;"piano"
9.1000;9.1813;58;10;"piano"
9.1000;9.1813;46;10;"piano"
9.2025;9.2681;57;9;"piano"
9.2025;9.2681;45;9;"piano"
9.2844;9.3500;58;10;"piano"
9.2844;9.3500;46;10;"piano"
9.3663;9.4319;57;9;"piano"
9.3663;9.4319;45;9;"piano"
9.4481;9.5138;58;10;"piano"
9.4481;9.5138;46;10;"piano"
9.5163;9.6100;55;7;"piano"
9.5163;9.6100;43;7;"piano"
9.5631;9.6100;57;9;"piano"
9.5631;9.6100;45;9;"piano"
9.6100;9.9950;55;7;"piano"
9.6100;9.9950;43;7;"piano"
10.8300;11.2100;50;2;"voice"
10.8300;11.2150;62;2;"piano"
10.8300;11.2150;50;2;"piano"
11.2100;11.6350;58;10;"voice"
11.2100;11.6350;70;10;"piano"
11.2100;11.6350;58;10;"piano"
11.6300;11.9140;57;9;"voice"
11.6300;11.9350;69;9;"piano"
11.6300;11.9350;57;9;"piano"
11.9300;12.1500;55;7;"voice"
11.9300;12.1550;67;7;"piano"
11.9300;12.1550;55;7;"piano"
12.1500;12.4150;54;6;"voice"
12.1500;12.4150;66;6;"piano"
12.1500;12.4150;54;6;"piano"
12.4100;12.6940;57;9;"voice"
12.4100;12.7150;69;9;"piano"
12.4100;12.7150;57;9;"piano"
12.7100;12.9700;58;10;"voice"
12.7100;12.9210;70;10;"piano"
12.7100;12.9000;58;10;"piano"
12.9000;12.9700;57;9;"piano"
12.9210;12.9700;69;9;"piano"
12.9700;13.2750;60;0;"voice"
12.9700;13.2580;72;0;"piano"
12.9700;13.2580;60;0;"piano"
13.2700;13.5250;58;10;"voice"
13.2700;13.5350;70;10;"piano"
13.2700;13.5350;58;10;"piano"
13.5300;13.7500;57;9;"voice"
13.5300;13.7520;69;9;"piano"
13.5300;13.7520;57;9;"piano"
13.7500;14.0100;55;7;"voice"
13.7500;14.0150;67;7;"piano"
13.7500;14.0150;55;7;"piano"
14.0100;14.3100;58;10;"voice"
14.0100;14.3150;70;10;"piano"
14.0100;14.3150;58;10;"piano"
14.3100;14.5900;60;0;"voice"
14.3100;14.5740;72;0;"piano"
14.3100;14.5740;60;0;"piano"
14.5900;14.8350;62;2;"voice"
14.5900;14.8350;74;2;"piano"
14.5900;14.8350;62;2;"piano"
14.8300;15.1140;60;0;"voice"
14.8300;15.1350;72;0;"piano"
14.8300;15.1350;60;0;"piano"
15.1300;15.4100;58;10;"voice"
15.1300;15.4150;70;10;"piano"
15.1300;15.4150;58;10;"piano"
15.4100;15.7150;63;3;"voice"
15.4100;15.7150;75;3;"piano"
15.4100;15.7150;63;3;"piano"
15.7100;15.9940;62;2;"voice"
15.7100;16.0150;74;2;"piano"
15.7100;16.0150;62;2;"piano"
16.0100;16.3100;61;1;"voice"
16.0100;16.2940;73;1;"piano"
16.0100;16.2940;61;1;"piano"
16.3100;16.6150;62;2;"voice"
16.3100;18.6200;74;2;"piano"
16.3100;18.6200;62;2;"piano"
16.6100;16.8940;57;9;"voice"
16.9100;17.3700;54;6;"voice"
17.3700;18.9900;62;2;"voice"
18.6200;18.9920;62;2;"piano"
18.6200;18.9920;50;2;"piano"
18.9900;19.1420;66;6;"piano"
18.9900;19.1420;54;6;"piano"
19.1400;19.2810;69;9;"piano"
19.1400;19.2810;57;9;"piano"
19.2900;19.5550;74;2;"piano"
19.2900;19.5550;62;2;"piano"
19.5500;19.8550;69;9;"piano"
19.5500;19.8550;57;9;"piano"
19.8500;20.1350;66;6;"piano"
19.8500;20.1350;54;6;"piano"
20.1300;20.2750;62;2;"piano"
20.1300;20.2750;50;2;"piano"
20.2700;20.5550;61;1;"piano"
20.2700;20.5550;49;1;"piano"
20.5500;20.8500;57;9;"voice"
20.5500;20.8340;60;0;"piano"
20.5500;20.8340;48;0;"piano"
20.8500;21.3700;58;10;"voice"
20.8500;21.3700;58;10;"piano"
20.8500;21.3700;62;2;"piano"
20.8500;21.3700;46;10;"piano"
20.8500;21.3700;53;5;"piano"
21.3700;21.6700;62;2;"voice"
21.6700;22.1200;60;0;"voice"
21.6700;22.2700;57;9;"piano"
21.6700;22.2700;63;3;"piano"
21.6700;22.2700;46;10;"piano"
21.6700;22.2700;54;6;"piano"
22.1200;22.2700;60;0;"voice"
22.2700;22.4200;58;10;"voice"
22.4200;22.5700;57;9;"voice"
22.5700;22.8700;58;10;"voice"
22.5700;23.1300;58;10;"piano"
22.5700;23.1300;62;2;"piano"
22.5700;23.1300;46;10;"piano"
22.5700;23.1300;53;5;"piano"
22.8700;23.1300;53;5;"voice"
23.1300;23.4100;62;2;"voice"
23.4100;23.7150;62;2;"voice"
23.4100;23.9100;41;5;"piano"
23.4100;23.9100;50;2;"piano"
23.4100;23.9100;53;5;"piano"
23.6610;23.7100;62;2;"piano"
23.7100;23.9070;65;5;"voice"
23.7100;23.9070;74;2;"piano"
23.9100;24.1500;62;2;"voice"
24.1500;24.4550;62;2;"voice"
24.1500;24.7500;43;7;"piano"
24.1500;24.7500;50;2;"piano"
24.1500;24.7500;53;5;"piano"
24.4010;24.4500;62;2;"piano"
24.4500;24.7340;65;5;"voice"
24.4500;24.7340;74;2;"piano"
24.7500;25.0500;62;2;"voice"
25.0500;25.3550;62;2;"voice"
25.0500;25.5500;45;9;"piano"
25.0500;25.5500;50;2;"piano"
25.0500;25.5500;53;5;"piano"
25.3030;25.3500;69;9;"piano"
25.3500;25.5340;64;4;"voice"
25.3500;25.5260;81;9;"piano"
25.5260;25.5500;69;9;"piano"
25.5500;25.8300;61;1;"voice"
25.5500;25.7700;81;9;"piano"
25.5500;25.8300;45;9;"piano"
25.5500;25.8300;52;4;"piano"
25.5500;25.8300;55;7;"piano"
25.7700;25.8300;69;9;"piano"
25.8300;27.1300;62;2;"voice"
25.8300;26.1770;81;9;"piano"
25.8300;26.2000;50;2;"piano"
25.8300;26.2000;53;5;"piano"
26.2000;26.3520;74;2;"piano"
26.2000;26.3520;62;2;"piano"
26.3500;26.4420;69;9;"piano"
26.3500;26.4420;57;9;"piano"
26.4400;26.5810;65;5;"piano"
26.4400;26.5810;53;5;"piano"
26.5900;26.8950;62;2;"piano"
26.5900;26.8950;50;2;"piano"
26.8900;27.0420;60;0;"piano"
26.8900;27.0420;48;0;"piano"
27.0400;27.1320;58;10;"piano"
27.0400;27.1320;46;10;"piano"
27.1300;27.4100;50;2;"voice"
27.1300;27.2620;57;9;"piano"
27.1300;27.2620;45;9;"piano"
27.2600;27.4010;58;10;"piano"
27.2600;27.4010;46;10;"piano"
27.4100;27.7150;52;4;"voice"
27.4100;27.7100;55;7;"piano"
27.4100;27.7100;43;7;"piano"
27.4900;27.7100;46;10;"piano"
27.5690;27.7100;52;4;"piano"
27.7100;27.9940;58;10;"voice"
27.7100;28.0100;55;7;"piano"
27.7900;28.0100;58;10;"piano"
27.8690;28.0100;64;4;"piano"
28.0100;28.2610;52;4;"voice"
28.2610;28.3100;55;7;"voice"
28.3100;28.5940;53;5;"voice"
28.3100;28.6100;45;9;"piano"
28.3900;28.6100;48;0;"piano"
28.4690;28.6100;53;5;"piano"
28.6100;29.0800;53;5;"voice"
28.6100;28.9100;57;9;"piano"
28.6900;28.9100;60;0;"piano"
28.7690;28.9100;65;5;"piano"
29.0800;29.3100;53;5;"voice"
29.3100;29.5850;52;4;"voice"
29.3100;29.5830;43;7;"piano"
29.3900;29.5830;46;10;"piano"
29.4690;29.5830;52;4;"piano"
29.5830;29.6740;58;10;"voice"
29.5830;29.6900;55;7;"piano"
29.5960;29.6900;58;10;"piano"
29.6040;29.6900;64;4;"piano"
29.6900;29.9430;52;4;"voice"
29.9430;29.9900;55;7;"voice"
29.9900;30.2700;53;5;"voice"
29.9900;30.2720;45;9;"piano"
30.0700;30.2720;48;0;"piano"
30.1490;30.2720;53;5;"piano"
