start;end;pitch;pitchclass;instrument
0.8400;1.8600;50;2;"piano"
1.8600;3.2215;55;7;"piano"
1.8600;3.2215;59;11;"piano"
1.8600;3.4090;50;2;"piano"
1.8600;3.2215;43;7;"piano"
3.2100;3.5450;54;6;"piano"
3.2100;3.5450;57;9;"piano"
3.2100;3.5450;38;2;"piano"
3.6000;6.1271;50;2;"piano"
3.6000;6.1271;54;6;"piano"
3.6000;6.1271;57;9;"piano"
3.6000;6.1271;38;2;"piano"
6.1000;6.7171;53;5;"piano"
6.1000;6.7171;55;7;"piano"
6.1000;6.7171;59;11;"piano"
6.1000;6.7171;43;7;"piano"
7.1200;8.7129;52;4;"piano"
7.1200;8.6900;55;7;"piano"
7.1200;8.7129;60;0;"piano"
7.1200;8.7129;36;0;"piano"
8.6900;9.1312;50;2;"piano"
8.6900;9.1312;55;7;"piano"
8.6900;9.1312;59;11;"piano"
8.6900;9.1312;43;7;"piano"
9.2200;11.8000;50;2;"piano"
9.2200;11.8000;55;7;"piano"
9.2200;11.8000;59;11;"piano"
9.2200;11.8000;43;7;"piano"
11.8000;12.8600;50;2;"piano"
11.8000;12.8600;55;7;"piano"
11.8000;12.8600;59;11;"piano"
11.8000;12.8600;43;7;"piano"
12.8600;14.4730;59;11;"piano"
12.8600;14.8800;50;2;"piano"
12.8600;14.9000;54;6;"piano"
12.8600;14.9200;38;2;"piano"
12.8600;14.9200;48;0;"piano"
14.3700;14.8800;57;9;"piano"
14.8800;14.8840;57;9;"piano"
14.8800;16.7620;50;2;"piano"
14.8800;16.6880;43;7;"piano"
14.8800;16.6880;47;11;"piano"
15.1300;15.5000;55;7;"piano"
15.5000;15.7500;54;6;"piano"
15.7500;16.1700;55;7;"piano"
16.8400;17.5910;57;9;"piano"
16.8400;17.9310;50;2;"piano"
16.8400;17.9310;55;7;"piano"
16.8400;18.3000;43;7;"piano"
17.5700;18.1720;59;11;"piano"
18.3000;19.9010;59;11;"piano"
18.3000;20.4600;50;2;"piano"
18.3000;20.4800;54;6;"piano"
18.3000;20.5000;38;2;"piano"
18.3000;20.5000;48;0;"piano"
19.8900;20.4640;57;9;"piano"
